Product Name,Product Link,Description,Product Code,Category,Category Link
Vilo Fronto Outdoor Slat Panel – Golden Oak V Black,https://mbdecor.co.uk/product/vox-fronto-outdoor-slat-panel-golden-oak-v-black/,"Vilo Fronto Golden Oak V Black (Black Inset) Exterior Panel, a sophisticated and durable solution for enhancing the exterior of any building. This high-quality panel combines aesthetic appeal with functionality, making it an ideal choice for both residential and commercial properties.",VFM3030232,Vilo Fronto V Black,https://mbdecor.co.uk/category/vilo-fronto-v-black/
Elegance Mineral External Agate Trim 20mm x 20mm 2600mm,https://mbdecor.co.uk/product/decorwall-mineral-external-trim-agate-20mm-x-20mm-2600mm/,"The Elegance Mineral External Agate Trim, measuring 20mm x 20mm x 2600mm, is specifically designed to complement our Elegance Mineral Agate panels. This trim provides exceptional durability and water resistance, making it ideal for various external applications where both performance and a cohesive appearance are essential.",QMBST36,Elegance Mineral Trim,https://mbdecor.co.uk/category/elegance-mineral-trim/
Elegance Mineral Beige Granite External Trim 20mm x 20mm 2600mm,https://mbdecor.co.uk/product/decorwall-mineral-external-trim-beige-granite-20mm-x-20mm-2600mm/,"The Elegance Mineral Beige Granite External Trim, measuring 20mm x 20mm x 2600mm, is tailored to match our Elegance Mineral Beige Granite External panel. It offers exceptional durability and is water-resistant, making it suitable for a variety of external applications.",QMBST30,Elegance Mineral Trim,https://mbdecor.co.uk/category/elegance-mineral-trim/
Elegance Mineral Black Granite External Trim 20mm x 20mm 2600mm,https://mbdecor.co.uk/product/decorwall-mineral-external-trim-black-granite-20mm-x-20mm-2600mm/,"The Elegance Mineral Black Granite External Trim, measuring 20mm x 20mm x 2600mm, is specifically designed to complement our Elegance Mineral Black Granite External panel. This trim is highly durable and water-resistant, ideal for providing a seamless finish in various external settings.",QMBST29,Elegance Mineral Trim,https://mbdecor.co.uk/category/elegance-mineral-trim/
Elegance Abstract Brown External Trim 20mm x 20mm x 2600mm,https://mbdecor.co.uk/product/decorwall-mineral-external-trim-brown-abstract-20mm-x-20mm-x-2600mm/,"The Elegance Abstract Brown External Trim, measuring 20mm x 20mm x 2600mm, is specifically designed to complement our Elegance Abstract Brown External panel. This trim offers superior durability and water resistance, making it an excellent choice for a variety of external applications where both performance and a sophisticated appearance are essential.",QMBST17,Elegance Abstract Trim,https://mbdecor.co.uk/category/elegance-abstract-trim/
Elegance Mineral Calcite External Trim 20mm x 20mm x 2600mm,https://mbdecor.co.uk/product/decorwall-mineral-external-trim-calcite-20mm-x-20mm-x-2600mm/,"The Elegance Mineral Calcite External Trim, measuring 20mm x 20mm x 2600mm, is specifically designed to complement our Elegance Mineral Calcite External panel. This trim offers exceptional durability and water resistance, making it perfect for a variety of external applications where both performance and a refined appearance are essential.",QMBST10,Elegance Mineral Trim,https://mbdecor.co.uk/category/elegance-mineral-trim/
Elegance Woodgrain Carbon External Trim 20mm x 20mm 2600mm,https://mbdecor.co.uk/product/decorwall-mineral-external-trim-carbon-20mm-x-20mm-2600mm/,"The Elegance Woodgrain Carbon External Trim, measuring 20mm x 20mm x 2600mm, is designed to match our external panels. It is robust and water-resistant, offering enhanced durability.",QMBST43,Elegance Woodgrain Trim,https://mbdecor.co.uk/category/elegance-woodgrain-trim/
Elegance Mineral Castello External Trim 20mm x 20mm 2600mm,https://mbdecor.co.uk/product/decorwall-mineral-external-trim-castello-20mm-x-20mm-2600mm/,"The Elegance Mineral Castello External Trim, measuring 20mm x 20mm x 2600mm, is designed to match our Elegance Mineral Castello External panel. It is robust and water-resistant, offering enhanced durability.",QMBST33,Elegance Mineral Trim,https://mbdecor.co.uk/category/elegance-mineral-trim/
Elegance Mineral Chromite External Trim 20mm x 20mm x 2600mm,https://mbdecor.co.uk/product/decorwall-mineral-external-trim-chromite-20mm-x-20mm-x-2600mm/,"The Elegance Mineral Chromite External Trim, measuring 20mm x 20mm x 2600mm, is designed to seamlessly match our Elegance Mineral Chromite External panel. This trim offers outstanding durability and water resistance, making it ideal for a variety of external applications where both performance and a sleek, modern look are required.",QMBST08,Elegance Mineral Trim,https://mbdecor.co.uk/category/elegance-mineral-trim/
Elegance Mineral Claystone External Trim 20mm x 20mm 2600mm,https://mbdecor.co.uk/product/decorwall-mineral-external-trim-claystone-20mm-x-20mm-2600mm/,"The Elegance Mineral Claystone External Trim, measuring 20mm x 20mm x 2600mm, is designed to match our external panels. It is robust and water-resistant, offering enhanced durability.",QMBST47,Elegance Mineral Trim,https://mbdecor.co.uk/category/elegance-mineral-trim/
